epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1,0.32642275,0.884573502722323,0.8866109714868494,0.884573502722323,0.8844212255236625
2,0.29118344,0.8938294010889292,0.896765613783964,0.8938294010889292,0.8936326115578868
3,0.2851505,0.8980036297640653,0.9012551070788007,0.8980036297640653,0.8977965843697839
4,0.27232593,0.9063520871143376,0.9088187805539838,0.9063520871143376,0.9062106126533533
5,0.25789002,0.9099818511796733,0.9114757362972331,0.9099818511796733,0.9099000730040975
6,0.25170964,0.9127041742286751,0.9138505747126436,0.9127041742286751,0.9126436781609195
7,0.25430527,0.9121597096188748,0.9137724902555288,0.9121597096188747,0.912074031315524
8,0.2555578,0.911978221415608,0.9144090308612918,0.911978221415608,0.9118489539652204
9,0.24736631,0.9168784029038113,0.9170049874000376,0.9168784029038113,0.9168720944036912
10,0.2512207,0.9117967332123412,0.9134459358372877,0.9117967332123412,0.9117086864730899
